id,title,overview,genres,keywords,cast,producers,release_date,runtime,production_companies,vote_average,vote_count,tagline,poster_file
1452,超人归来,超人归来后发现，自己离开地球的五年间，莱克斯·卢瑟已获释重获自由，而他最亲近的人则因感到被抛弃而纷纷离他而去。卢瑟密谋展开终极复仇，这一计划可能导致数百万人丧生，并永久性地改变地球面貌，同时彻底铲除这位钢铁之躯的超级英雄。,冒险|奇幻|动作|科幻,拯救世界|DC漫画|刀枪不入|续集|超级英雄|改编自漫画|氪石|超能力|超强力量|莱克斯·卢瑟,Brandon Routh|Kevin Spacey|Kate Bosworth|James Marsden|Parker Posey|Frank Langella|Sam Huntington|Eva Marie Saint|Marlon Brando|Kal Penn,Jon Peters|Gilbert Adler|Bryan Singer|Chris Lee|Thomas Tull|William Fay|Scott Mednick|Stephen Jones,2006/6/28,154,DC Comics|Legendary Pictures|Warner Bros.|Bad Hat Harry Productions,5.4,1400,,/posters/1452.jpg
10764,量子危机,《量子危机》延续了《007：大战皇家赌场》之后詹姆斯·邦德的冒险故事。因深爱的女人维斯帕的背叛，邦德竭力克制将最新任务私人化的冲动。为追寻真相，邦德与M联手审讯怀特先生，后者透露：曾胁迫维斯帕的组织远比任何人想象的更为复杂且危险。,冒险|动作|惊悚|犯罪,杀戮|卧底|秘密特工|英国秘密情报局,Daniel Craig|Olga Kurylenko|Mathieu Amalric|Judi Dench|Giancarlo Giannini|Gemma Arterton|Jeffrey Wright|David Harbour|Jesper Christensen|Anatole Taubman,Barbara Broccoli|Anthony Waye|Callum McDougall|Gregg Wilson|Michael G. Wilson,2008/10/30,106,Eon Productions,6.1,2965,为爱，为恨，为正义，为复仇。,/posters/10764.jpg
58,加勒比海盗2：亡灵宝藏,杰克·斯派罗船长设法摆脱与幽灵戴维·琼斯的血债，同时试图避免永世受诅咒的命运。,冒险|奇幻|动作,女巫|算命师|束缚|异域岛屿|怪物|船长|纸牌游戏|东印度贸易公司|罗盘|船只|女儿|海盗|剑客|片尾彩蛋,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Bill Nighy|Jack Davenport|Kevin McNally|Jonathan Pryce|Lee Arenberg|Mackenzie Crook,Jerry Bruckheimer|Bruce Hendricks|Mike Stenson|Eric McLeod|Chad Oman|Peter Kohn|Pat Sandston,2006/6/20,151,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,7,5246,杰克回归！,/posters/58.jpg
57201,独行侠,德克萨斯游骑兵队追捕由巴奇·卡文迪什率领的一伙亡命之徒，但该团伙伏击了游骑兵队，看似将他们全部杀死。然而，一名幸存者被一名名叫通托的美洲印第安人发现，并由他悉心照料康复。这名游骑兵戴上面具，骑上一匹名为“银色”的白马，与通托联手，将这伙不法之徒及其他类似恶棍绳之以法。,动作|冒险|西部,得克萨斯|马|幸存者|德克萨斯游骑兵|搭档|亡命之徒|逃亡|律师|火车|独行侠|科曼奇人|独行侠|通托,Johnny Depp|Armie Hammer|William Fichtner|Helena Bonham Carter|James Badge Dale|Tom Wilkinson|Ruth Wilson|Barry Pepper|James Frain|Mason Cook,Gore Verbinski|Jerry Bruckheimer|Ted Elliott|Terry Rossio|Johnny Depp|Mike Stenson|Eric McLeod|Chad Oman|Eric Ellenbogen,2013/7/3,149,Walt Disney Pictures|Jerry Bruckheimer Films|Infinitum Nihil|Silver Bullet Productions (II)|Blind Wink Productions|Classic Media,5.9,2311,切勿摘下面具,/posters/57201.jpg
49521,超人：钢铁之躯,一个小男孩发现自己拥有超凡的能力，并且并非地球人。成年后，他踏上旅程，探寻自己的身世以及被派到地球所肩负的使命。然而，若要拯救世界免于毁灭，并成为全人类希望的象征，他内心深处的英雄必须觉醒。,动作|冒险|奇幻|科幻,拯救世界|DC漫画|超级英雄|改编自漫画书|超人类|外星入侵|重启|超能力|DC扩展宇宙,Henry Cavill|Amy Adams|Michael Shannon|Kevin Costner|Diane Lane|Russell Crowe|Laurence Fishburne|Antje Traue|Christopher Meloni|Jadin Gould,Charles Roven|Lloyd Phillips|Christopher Nolan|Emma Thomas|Jon Peters|Thomas Tull|Wesley Coller|Deborah Snyder|Curt Kanemoto,2013/6/12,143,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy|Cruel and Unusual Films,6.5,6359,你将相信，一个人可以飞翔。,/posters/49521.jpg
2454,纳尼亚传奇：凯斯宾王子,在《狮子、女巫和魔衣橱》中经历了不可思议的冒险一年后，彼得、埃德蒙、露西和苏珊·佩文西兄妹重返纳尼亚，帮助一位生命正遭受邪恶国王米拉兹威胁的年轻王子。如今，在一群个性鲜明的新角色——包括獾族特鲁弗亨特和矮人尼卡布里克——的帮助下，佩文西家族踏上了一段惊心动魄的征途，以确保纳尼亚重回其合法继承者之手。,冒险|家庭|奇幻,改编自小说|虚构地点|兄妹关系|狮子|人类|恶棍|时间跳跃|生死攸关|信仰|叔叔|纳尼亚|奇幻世界,Ben Barnes|William Moseley|Anna Popplewell|Skandar Keynes|Georgie Henley|Sergio Castellitto|Alicia Borrachero|Peter Dinklage|Warwick Davis|Vincent Grass,David Minkowski|Matthew Stillman|Mark Johnson|Andrew Adamson|Philip Steuer|Douglas Gresham|Perry Moore|K.C. Hodenfield|Tom Williams|Luca Marco Paracels,2008/5/15,150,Walt Disney|Walden Media|Stillking Films|Ozumi Films|Propeler|Silverbell Films|Revolution Sun Studios,6.3,1630,希望拥有了崭新的面孔。,/posters/2454.jpg
24428,复仇者联盟,当一个意想不到的敌人出现并威胁全球安全与稳定时，国际维和机构神盾局（S.H.I.E.L.D.）局长尼克·弗瑞发现自己亟需组建一支队伍，将世界从灾难边缘拉回。一场横跨全球的大胆招募行动就此展开！,科幻|动作|冒险,纽约|神盾局|漫威漫画|超级英雄|改编自漫画书|外星人入侵|超级英雄团队|片尾彩蛋|片中彩蛋|漫威电影宇宙,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Tom Hiddleston|Clark Gregg|Cobie Smulders|Stellan Skarsgård,Stan Lee|Avi Arad|Kevin Feige|Jon Favreau|Chris Brigham|Louis D'Esposito|Alan Fine|Victoria Alonso|Jeremy Latcham,2012/4/25,143,Paramount Pictures|Marvel Studios,7.4,11776,需要集结各方力量。,/posters/24428.jpg
1865,加勒比海盗：惊涛怪浪,杰克·斯派罗船长偶遇一位来自他过去的女子，却不确定这究竟是爱情，还是这位冷酷无情的女骗子正利用他去寻找传说中的青春之泉。当她强行将他带上臭名昭著的海盗黑胡子的座舰“安妮女王复仇号”时，杰克发现自己踏上了一段意想不到的冒险之旅，而他甚至无法确定：自己更该畏惧黑胡子，还是那位来自他过往的女子。,冒险|动作|奇幻,大海|船长|叛变|剑|首相|航海|银|船|公爵|美人鱼|海盗|士兵|战斗|剑客|片尾彩蛋|3D,Johnny Depp|Penélope Cruz|Ian McShane|Kevin McNally|Geoffrey Rush|Sam Claflin|Astrid Bergès-Frisbey|Stephen Graham|Greg Ellis|Damian O'Hare,Jerry Bruckheimer|Terry Rossio|Mike Stenson|Chad Oman|Barry H. Waldman|John DeLuca,2011/5/14,136,Walt Disney Pictures|Jerry Bruckheimer Films|Moving Picture Company (MPC),6.4,4948,要么永生，要么赴死。,/posters/1865.jpg
41154,黑衣人3,J探员（威尔·史密斯饰）与K探员（汤米·李·琼斯饰）再度联手……穿越时空。在加入“黑衣人”组织的15年间，J探员曾目睹过诸多难以解释的奇事，但就连外星人也远不及他那位言语诙谐、沉默寡言的搭档令他费解。然而，当K探员的生命以及整个地球的命运岌岌可危时，J探员必须回到过去，力挽狂澜。J探员逐渐发现，宇宙中隐藏着K探员从未向他透露过的秘密——而这些秘密，将在他与年轻时期的K探员（乔什·布洛林饰）携手合作、拯救搭档、拯救“黑衣人”组织乃至全人类未来的过程中逐一揭晓。,动作|喜剧|科幻,时间旅行|时间机器|外星人|虚构政府机构|预见未来|改写历史,Will Smith|Tommy Lee Jones|Josh Brolin|Michael Stuhlbarg|Emma Thompson|Jemaine Clement|Nicole Scherzinger|Alice Eve|Bill Hader|Michael Chernus,Steven Spielberg|Walter F. Parkes|Laurie MacDonald|G. Mac Brown,2012/5/23,106,Amblin Entertainment|Media Magik Entertainment|Imagenation Abu Dhabi FZ|Hemisphere Media Capital|Parkes/MacDonald Productions,6.2,4160,他们回归了……穿越时空。,/posters/41154.jpg
122917,霍比特人：五军之战,紧接《霍比特人：史矛革之战》的剧情，比尔博与矮人们试图守护埃瑞博山上的宝藏，抵御那些声称对此拥有权利的势力：被摧毁的长湖镇人类和幽谷的精灵。与此同时，由“毁灭者”阿索格率领的兽人大军正向埃瑞博进发，其背后推动力是黑暗魔君索伦的崛起。矮人、精灵与人类必须联合起来，而中土世界的希望则落在了比尔博肩上。,动作|冒险|奇幻,腐败|精灵|矮人|兽人|中土世界（托尔金）|霍比特人|巨龙|战役|出乎意料的友谊|史诗战役|剑与魔法,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish|William Kircher|James Nesbitt|Stephen Hunter|Dean O'Gorman|Aidan Turner,Peter Jackson|Fran Walsh|Philippa Boyens|Carolynne Cunningham|Zane Weiner|Carolyn Blackwood,2014/12/10,144,WingNut Films|New Line Cinema|Warner Bros. Pictures|3Foot7|Metro-Goldwyn-Mayer (MGM),7.1,4760,见证中土世界传奇的决定性篇章,/posters/122917.jpg
1930,超凡蜘蛛侠,彼得·帕克是一名被父母遗弃的高中生，从小由本叔叔和梅婶抚养长大。和其他青少年一样，彼得也在努力弄清自己是谁，以及自己是如何成长为今天这个样子的。当彼得发现了一个属于他父亲的神秘手提箱后，他开始追寻父母失踪之谜——这将他直接引向了奥氏企业以及父亲昔日搭档柯特·康纳斯博士的实验室。随着蜘蛛侠与康纳斯博士的另一重身份“蜥蜴人”走向正面冲突，彼得将做出改变人生的抉择，运用自己的超能力，塑造自己的命运，最终成长为一名英雄。,动作|冒险|奇幻,失去父亲|义警|血清|漫威漫画|科学实验|蜘蛛叮咬|蒙面义警|重启|超能力|基因工程|社交边缘人|片尾彩蛋,Andrew Garfield|Emma Stone|Rhys Ifans|Denis Leary|Campbell Scott|Irrfan Khan|Martin Sheen|Sally Field|Max Charles|Chris Zylka,Stan Lee|Laura Ziskin|Avi Arad|Kevin Feige|Michael Grillo|Matt Tolmach,2012/6/27,136,Columbia Pictures|Laura Ziskin Productions|Marvel Entertainment,6.5,6586,不为人知的故事就此展开。,/posters/1930.jpg
20662,罗宾汉,当士兵罗宾偶然遇到奄奄一息的洛克西男爵罗伯特时，他承诺将这位男子的佩剑送还给其位于诺丁汉的家人。在那里，他冒充罗伯特的身份；与罗伯特的遗孀玛丽安相恋；并因此招致了当地治安官及英格兰国王约翰的手下戈弗雷的敌意。,动作|冒险,罗宾汉|弓箭手|骑士|舍伍德森林|弓箭|中世纪|中古时代|英格兰国王,Russell Crowe|Cate Blanchett|Max von Sydow|William Hurt|Mark Strong|Oscar Isaac|Danny Huston|Eileen Atkins|Mark Addy|Matthew Macfadyen,Brian Grazer|Ridley Scott|Russell Crowe,2010/5/12,140,Imagine Entertainment|Universal Pictures|Scott Free Productions|Relativity Media,6.2,1398,奋起，再奋起，直至羔羊化为雄狮。,/posters/20662.jpg
57158,霍比特人：史矛革之战,矮人们、比尔博和甘道夫成功逃离了迷雾山脉，比尔博也获得了至尊魔戒。他们继续踏上征程，试图从恶龙史矛革手中夺回属于自己的黄金。,冒险|奇幻,精灵|矮人|兽人|霍比特人|巨龙|巫师|剑与魔法,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish|William Kircher|James Nesbitt|Stephen Hunter|Dean O'Gorman|Aidan Turner,Peter Jackson|Fran Walsh|Carolynne Cunningham|Callum Greene|Toby Emmerich|Zane Weiner|Ken Kamins|Alan Horn|Carolyn Blackwood,2013/12/11,161,WingNut Films|New Line Cinema|Warner Bros. Pictures|Metro-Goldwyn-Mayer (MGM),7.6,4524,穿越黑暗……穿越荒芜……潜藏着最大的危险。,/posters/57158.jpg
2268,黄金罗盘,在无意中听到一个惊人的秘密后，聪慧早熟的孤儿莱拉·贝拉克瓦放弃了在乔丹学院大厅里无忧无虑漫游的生活，转而踏上前往遥远北方的异世界冒险之旅，却全然不知这正是她命中注定的旅程。,冒险|奇幻,英格兰|罗盘|实验|贵族统治|叔叔|北极熊|孤儿|动物|改编自青少年小说,Dakota Blue Richards|Nicole Kidman|Daniel Craig|Sam Elliott|Eva Green|Freddie Highmore|Ian McKellen|Ben Walker|Ian McShane|Kristin Scott Thomas,Mark Ordesky|Michael Lynne|Paul Weitz|Robert Shaye|Toby Emmerich|Bill Carraro|Deborah Forte|Ileen Maisel|Andrew Miano,2007/12/4,113,New Line Cinema|Ingenious Film Partners|Depth of Field|Scholastic Productions,5.8,1303,在我们所处的世界之外，还存在着其他世界——罗盘将为你指引方向。,/posters/2268.jpg
254,金刚,1933年的纽约，一位野心勃勃的电影制片人胁迫其演员阵容及雇用的船员前往神秘的骷髅岛，在那里他们遭遇了金刚——一只体型巨大的猿类，而金刚立刻被女主角深深吸引。,冒险|剧情|动作,电影业|剧本|娱乐业|电影制作|电影制片人|异域岛屿|怪兽|土著|轮船|恐龙,Naomi Watts|Jack Black|Adrien Brody|Thomas Kretschmann|Colin Hanks|Andy Serkis|Evan Parke|Jamie Bell|Lobo Chan|John Sumner,Peter Jackson|Fran Walsh|Jan Blenkin|Carolynne Cunningham,2005/12/14,187,WingNut Films|Universal Pictures|Big Primate Pictures|MFPV Film,6.6,2337,世界第八大奇迹。,/posters/254.jpg
597,泰坦尼克号,84年后，一位101岁的老妇人罗丝·德威特·布卡特向她的孙女莉齐·卡尔弗特、布鲁克·洛维特、刘易斯·博丁、鲍比·比尔以及阿纳托利·米凯拉维奇讲述了她的人生故事。故事发生在1912年4月10日，一艘名为泰坦尼克号的巨轮上：年轻的罗丝与上层阶级乘客、母亲露丝·德威特·布卡特以及未婚夫卡尔德·霍克利一同登船启航。与此同时，流浪画家杰克·道森与他最好的朋友法布里齐奥·德·罗西通过赌博赢得了三等舱船票，登上了这艘巨轮。罗丝向众人完整讲述了从启航到1912年4月15日凌晨2点20分泰坦尼克号首航亦是末航的沉没全过程。,剧情|爱情|惊悚,海难|冰山|船舶|恐慌|泰坦尼克号|远洋邮轮|史诗|富家女与穷小子|爱情|灾难|悲剧爱情|阶级差异|IMAX|命中注定的恋人|三等舱|打捞|势利的富人|3D|20世纪10年代,Kate Winslet|Leonardo DiCaprio|Frances Fisher|Billy Zane|Kathy Bates|Gloria Stuart|Bill Paxton|Bernard Hill|David Warner|Victor Garber,James Cameron|Grant Hill|Jon Landau|Rae Sanchini|Al Giddings|Pamela Easley,1997/11/18,194,Paramount Pictures|Twentieth Century Fox Film Corporation|Lightstorm Entertainment,7.5,7562,世间万物都无法将他们分开。,/posters/597.jpg
271110,美国队长3：内战,继《复仇者联盟2：奥创纪元》事件之后，世界各国政府通过了一项旨在监管所有超人类活动的法案。这一举措在复仇者联盟内部引发严重分歧，导致成员分裂为两派，分别支持钢铁侠或美国队长，昔日盟友之间由此展开一场史诗级对决。,冒险|动作|科幻,内战|战争|漫威漫画|续集|超级英雄|改编自漫画|IMAX|片尾彩蛋|片中彩蛋|漫威电影宇宙|3D,Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan|Anthony Mackie|Don Cheadle|Jeremy Renner|Chadwick Boseman|Paul Bettany|Elizabeth Olsen,Stan Lee|Kevin Feige|Patricia Whitcher|Henning Molfenter|Charlie Woebcken|Louis D'Esposito|Alan Fine|Victoria Alonso|Nate Moore|Christoph Fisser|Mitchell Bell|Lars P. Winther,2016/4/27,147,Studio Babelsberg|Marvel Studios|Walt Disney Studios Motion Pictures|Vita-Ray Dutch Productions (III)|Deluxe Digital Studios,7.1,7241,分裂则败,/posters/271110.jpg
44833,超级战舰,当人类向太空发射无线电信号后，来自‘G星球’的回应随之而至——数艘外星飞船坠入夏威夷附近的海域。亚历克斯·霍普金斯中尉是隶属于国际海军联合舰队‘约翰·保罗·琼斯号’驱逐舰的武器官。这支联合舰队在与一支实力难以想象的敌对外星力量交战时，成为人类生存的最后一道希望。在抗击入侵者的同时，霍普金斯还必须努力实现其兄长以及未婚妻之父——谢恩海军上将——对他寄予的厚望。,惊悚|动作|冒险|科幻,战斗|美国海军|心灵感应|香港|足球|科学家|虚构战争|海军|舰队|战列舰|海战|日本海上自卫队妙高号护卫舰|通讯中断|电击枪|浮标|通信专家|参谋长联席会议|坠毁|战斗机飞行员|海军中尉|结婚许可|约翰·保罗·琼斯号驱逐舰|改编自桌面游戏|片尾彩蛋|密苏里号战列舰|密苏里号战列舰,Taylor Kitsch|Alexander Skarsgård|Rihanna|Brooklyn Decker|Tadanobu Asano|Liam Neeson|Gregory D. Gadson|Hamish Linklater|Jesse Plemons|John Tui,Duncan Henderson|Scott Stuber|Brian Goldner|Peter Berg|Sarah Aubrey|Bennett Schneir,2012/4/11,131,Universal Pictures|Hasbro|Bluegrass Films|Film 44,5.5,2114,地球保卫战，始于海上,/posters/44833.jpg
135397,侏罗纪世界,《侏罗纪公园》事件发生二十二年后，努布拉岛如今已建成一座功能完备的恐龙主题公园——“侏罗纪世界”，这正是约翰·哈蒙德最初构想的愿景。,动作|冒险|科幻|惊悚,怪物|DNA|霸王龙|迅猛龙|岛屿|续集|悬念|灾难|逃亡|恐龙|游乐园|动物袭击|主题公园|侏罗纪公园|3D|动物恐怖,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson|Ty Simpkins|Jake Johnson|Omar Sy|BD Wong|Judy Greer,Steven Spielberg|Frank Marshall|Patrick Crowley|Thomas Tull|Christopher Raimo,2015/6/9,124,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6.5,8662,公园开放了。,/posters/135397.jpg
37724,007：大破天幕杀机,当邦德最新的任务严重失败，世界各地的特工身份暴露后，军情六处（MI6）遭到袭击，迫使M夫人将机构转移至别处。这些事件导致她的权威和职位受到新任情报与安全委员会主席加雷思·马洛里（Gareth Mallory）的挑战。如今，军情六处内外均遭渗透，M夫人仅剩一名可信赖的盟友：邦德。代号007的詹姆斯·邦德潜入暗影——仅由外勤特工伊芙协助——循着线索追查神秘人物席尔瓦（Silva），此人手段致命且动机隐秘，尚未显露真容。,动作|冒险|惊悚,间谍|秘密特工|反社会人格者|杀手|艺术画廊|英国秘密情报局|土耳其伊斯坦布尔|IMAX|乌齐冲锋枪|诡雷|冒充警察|澳门,Daniel Craig|Judi Dench|Javier Bardem|Ralph Fiennes|Naomie Harris|Bérénice Marlohe|Albert Finney|Ben Whishaw|Rory Kinnear|Ola Rapace,Barbara Broccoli|Callum McDougall|Gregg Wilson|Michael G. Wilson,2012/10/25,143,Columbia Pictures,6.9,7604,反思你的罪孽。,/posters/37724.jpg
